instance_id,component_size,separation,coverage,base_wrongness,seed,x,y,n_k,z_size,z_star,s0_ok,r_val,r_status,r_method,r_oracle,r_exact,r_assumes,r_witness,r_search_seconds,r_ladder_seconds,r_total_seconds,wall_until_timeout_s,space_n_elements,space_build_seconds,n_samples,n_ok,n_unreachable_in_space,n_not_in_space_bug,n_contradictory,h_max,AUC_claims,AUC_abs_claims,n_d_claims_evaluated,AUC_hops,n_d_hops_evaluated,n_symdiff_compared,n_symdiff_eq_dhops,n_symdiff_gt_dhops,n_symdiff_lt_dhops,frac_symdiff_eq_dhops,frac_symdiff_gt_dhops,frac_symdiff_lt_dhops
c03_s01_cov050_seed00000010_bw000,3,1,0.5,0.0,10,X,Y,2,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->Y W->Y X->Y C00-X C02-X,9.495799999992283e-05,0.0,9.495799999992283e-05,,19,0.002234999999999987,200,200,0,0,0,4,0.35699999999999993,0.51,2,0.4079999999999999,2,200,200,0,0,1.0,0.0,0.0
c03_s01_cov050_seed00000011_bw000,3,1,0.5,0.0,11,X,Y,1,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y W->Y X->Y C00-C02 C00-X,5.670800000001641e-05,0.0,5.670800000001641e-05,,6,0.0005272920000000125,100,100,0,0,0,3,0.0,0.0,1,0.0,1,100,100,0,0,1.0,0.0,0.0
c03_s01_cov050_seed00000012_bw000,3,1,0.5,0.0,12,X,Y,1,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y W->Y X->C02 X->Y C00-X,6.366599999996225e-05,0.0,6.366599999996225e-05,,6,0.000553208999999999,100,100,0,0,0,3,0.0,0.0,1,0.0,1,100,100,0,0,1.0,0.0,0.0
c03_s01_cov050_seed00000013_bw000,3,1,0.5,0.0,13,X,Y,1,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y W->Y X->C02 X->Y C00-X,0.00011829200000001983,0.0,0.00011829200000001983,,6,0.00043679200000001916,100,100,0,0,0,3,0.0,0.0,1,0.0,1,100,100,0,0,1.0,0.0,0.0
c03_s01_cov050_seed00000014_bw000,3,1,0.5,0.0,14,X,Y,1,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y W->Y X->Y C00-C02 C00-X,5.9499999999990116e-05,0.0,5.9499999999990116e-05,,6,0.000502290999999988,100,100,0,0,0,3,0.0,0.0,1,0.0,1,100,100,0,0,1.0,0.0,0.0
c03_s01_cov050_seed00000000_bw010,3,1,0.5,0.1,0,X,Y,2,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->Y W->Y X->Y C00-X C02-X,0.00012125000000007269,0.0,0.00012125000000007269,,19,0.002229707999999997,200,200,0,0,0,4,0.392,0.56,2,0.44800000000000006,2,200,200,0,0,1.0,0.0,0.0
c03_s01_cov050_seed00000001_bw010,3,1,0.5,0.1,1,X,Y,1,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y W->Y X->Y C00-C02 C00-X,5.774999999996755e-05,0.0,5.774999999996755e-05,,6,0.0006766659999999369,100,100,0,0,0,3,0.0,0.0,1,0.0,1,100,100,0,0,1.0,0.0,0.0
c03_s01_cov050_seed00000002_bw010,3,1,0.5,0.1,2,X,Y,2,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->Y W->Y X->Y C00-X C02-X,8.733400000004998e-05,0.0,8.733400000004998e-05,,19,0.0027265419999999985,200,200,0,0,0,4,0.378,0.54,2,0.43200000000000005,2,200,200,0,0,1.0,0.0,0.0
c03_s01_cov050_seed00000003_bw010,3,1,0.5,0.1,3,X,Y,2,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->Y W->Y X->Y C00-X C02-X,9.158300000000619e-05,0.0,9.158300000000619e-05,,19,0.0020920410000000444,200,200,0,0,0,4,0.35,0.5,2,0.4,2,200,200,0,0,1.0,0.0,0.0
c03_s01_cov050_seed00000004_bw010,3,1,0.5,0.1,4,X,Y,1,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y W->Y X->C02 X->Y C00-X,6.004199999998239e-05,0.0,6.004199999998239e-05,,6,0.0006406249999999503,100,100,0,0,0,3,0.0,0.0,1,0.0,1,100,100,0,0,1.0,0.0,0.0
c03_s01_cov050_seed00000005_bw010,3,1,0.5,0.1,5,X,Y,1,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y W->Y X->C02 X->Y C00-X,6.445800000010049e-05,0.0,6.445800000010049e-05,,6,0.0004209580000000823,100,100,0,0,0,3,0.0,0.0,1,0.0,1,100,100,0,0,1.0,0.0,0.0
c03_s01_cov050_seed00000006_bw010,3,1,0.5,0.1,6,X,Y,1,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y W->Y X->Y C00-C02 C00-X,5.379199999999695e-05,0.0,5.379199999999695e-05,,6,0.0004960840000000077,100,100,0,0,0,3,0.0,0.0,1,0.0,1,100,100,0,0,1.0,0.0,0.0
c03_s01_cov050_seed00000007_bw010,3,1,0.5,0.1,7,X,Y,1,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y W->Y X->C02 X->Y C00-X,5.854100000002305e-05,0.0,5.854100000002305e-05,,6,0.0005054580000000142,100,100,0,0,0,3,0.0,0.0,1,0.0,1,100,100,0,0,1.0,0.0,0.0
c03_s01_cov050_seed00000008_bw010,3,1,0.5,0.1,8,X,Y,1,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y W->Y X->C02 X->Y C00-X,6.0417000000034804e-05,0.0,6.0417000000034804e-05,,6,0.0005959589999999793,100,100,0,0,0,3,0.0,0.0,1,0.0,1,100,100,0,0,1.0,0.0,0.0
c03_s01_cov050_seed00000009_bw010,3,1,0.5,0.1,9,X,Y,2,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->Y W->Y X->Y C00-X C02-X,8.741699999992303e-05,0.0,8.741699999992303e-05,,19,0.0021756250000000144,200,200,0,0,0,4,0.392,0.56,2,0.44800000000000006,2,200,200,0,0,1.0,0.0,0.0
c03_s01_cov050_seed00000010_bw010,3,1,0.5,0.1,10,X,Y,2,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->Y W->Y X->Y C00-X C02-X,9.016600000000263e-05,0.0,9.016600000000263e-05,,19,0.0024772499999999864,200,200,0,0,0,4,0.35699999999999993,0.51,2,0.4079999999999999,2,200,200,0,0,1.0,0.0,0.0
c03_s01_cov050_seed00000011_bw010,3,1,0.5,0.1,11,X,Y,1,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y W->Y X->Y C00-C02 C00-X,5.720799999997528e-05,0.0,5.720799999997528e-05,,6,0.0005809170000000696,100,100,0,0,0,3,0.0,0.0,1,0.0,1,100,100,0,0,1.0,0.0,0.0
c03_s01_cov050_seed00000012_bw010,3,1,0.5,0.1,12,X,Y,1,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y W->Y X->C02 X->Y C00-X,6.75839999999539e-05,0.0,6.75839999999539e-05,,6,0.00046004200000004936,100,100,0,0,0,3,0.0,0.0,1,0.0,1,100,100,0,0,1.0,0.0,0.0
c03_s01_cov050_seed00000013_bw010,3,1,0.5,0.1,13,X,Y,1,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y W->Y X->C02 X->Y C00-X,5.6874999999956266e-05,0.0,5.6874999999956266e-05,,6,0.0004413330000000437,100,100,0,0,0,3,0.0,0.0,1,0.0,1,100,100,0,0,1.0,0.0,0.0
c03_s01_cov050_seed00000014_bw010,3,1,0.5,0.1,14,X,Y,1,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y W->Y X->Y C00-C02 C00-X,5.591700000007194e-05,0.0,5.591700000007194e-05,,6,0.0004939999999999944,100,100,0,0,0,3,0.0,0.0,1,0.0,1,100,100,0,0,1.0,0.0,0.0
c03_s01_cov050_seed00000000_bw025,3,1,0.5,0.25,0,X,Y,2,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->Y W->Y X->Y C00-X C02-X,8.262500000000284e-05,0.0,8.262500000000284e-05,,19,0.0019699589999999656,200,200,0,0,0,4,0.3430000000000001,0.49,2,0.39200000000000007,2,200,200,0,0,1.0,0.0,0.0
c03_s01_cov050_seed00000001_bw025,3,1,0.5,0.25,1,X,Y,1,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y W->Y X->Y C00-C02 C00-X,6.320800000003679e-05,0.0,6.320800000003679e-05,,6,0.00042441599999998303,100,100,0,0,0,3,0.0,0.0,1,0.0,1,100,100,0,0,1.0,0.0,0.0
c03_s01_cov050_seed00000002_bw025,3,1,0.5,0.25,2,X,Y,2,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->Y W->Y X->Y C00-X C02-X,8.016700000001986e-05,0.0,8.016700000001986e-05,,19,0.001863082999999932,200,200,0,0,0,4,0.33599999999999997,0.48,2,0.384,2,200,200,0,0,1.0,0.0,0.0
c03_s01_cov050_seed00000003_bw025,3,1,0.5,0.25,3,X,Y,2,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->Y W->Y X->Y C00-X C02-X,8.016700000001986e-05,0.0,8.016700000001986e-05,,19,0.002017541000000067,200,200,0,0,0,4,0.3430000000000001,0.49,2,0.39200000000000007,2,200,200,0,0,1.0,0.0,0.0
c03_s01_cov050_seed00000004_bw025,3,1,0.5,0.25,4,X,Y,1,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y W->Y X->C02 X->Y C00-X,5.3208999999942996e-05,0.0,5.3208999999942996e-05,,6,0.000520333000000095,100,100,0,0,0,3,0.0,0.0,1,0.0,1,100,100,0,0,1.0,0.0,0.0
c03_s01_cov050_seed00000005_bw025,3,1,0.5,0.25,5,X,Y,1,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y W->Y X->C02 X->Y C00-X,5.350000000003963e-05,0.0,5.350000000003963e-05,,6,0.00042120800000000624,100,100,0,0,0,3,0.0,0.0,1,0.0,1,100,100,0,0,1.0,0.0,0.0
c03_s01_cov050_seed00000006_bw025,3,1,0.5,0.25,6,X,Y,1,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y W->Y X->Y C00-C02 C00-X,4.816699999998786e-05,0.0,4.816699999998786e-05,,6,0.0005144169999999892,100,100,0,0,0,3,0.0,0.0,1,0.0,1,100,100,0,0,1.0,0.0,0.0
c03_s01_cov050_seed00000007_bw025,3,1,0.5,0.25,7,X,Y,1,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y W->Y X->C02 X->Y C00-X,5.566700000003699e-05,0.0,5.566700000003699e-05,,6,0.00041524999999997814,100,100,0,0,0,3,0.0,0.0,1,0.0,1,100,100,0,0,1.0,0.0,0.0
c03_s01_cov050_seed00000008_bw025,3,1,0.5,0.25,8,X,Y,1,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y W->Y X->C02 X->Y C00-X,5.224999999997593e-05,0.0,5.224999999997593e-05,,6,0.000427749999999949,100,100,0,0,0,3,0.0,0.0,1,0.0,1,100,100,0,0,1.0,0.0,0.0
c03_s01_cov050_seed00000009_bw025,3,1,0.5,0.25,9,X,Y,2,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->Y W->Y X->Y C00-X C02-X,8.120799999999928e-05,0.0,8.120799999999928e-05,,19,0.0020430420000000504,200,200,0,0,0,4,0.308,0.44,2,0.352,2,200,200,0,0,1.0,0.0,0.0
c03_s01_cov050_seed00000010_bw025,3,1,0.5,0.25,10,X,Y,2,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->Y W->Y X->Y C00-X C02-X,8.187500000000902e-05,0.0,8.187500000000902e-05,,19,0.0019597919999999602,200,200,0,0,0,4,0.294,0.42,2,0.33599999999999997,2,200,200,0,0,1.0,0.0,0.0
c03_s01_cov050_seed00000011_bw025,3,1,0.5,0.25,11,X,Y,1,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y W->Y X->Y C00-C02 C00-X,5.0083000000089584e-05,0.0,5.0083000000089584e-05,,6,0.0004129999999999967,100,100,0,0,0,3,0.0,0.0,1,0.0,1,100,100,0,0,1.0,0.0,0.0
c03_s01_cov050_seed00000012_bw025,3,1,0.5,0.25,12,X,Y,1,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y W->Y X->C02 X->Y C00-X,5.741599999997682e-05,0.0,5.741599999997682e-05,,6,0.0004912919999999765,100,100,0,0,0,3,0.0,0.0,1,0.0,1,100,100,0,0,1.0,0.0,0.0
c03_s01_cov050_seed00000013_bw025,3,1,0.5,0.25,13,X,Y,1,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y W->Y X->C02 X->Y C00-X,6.070799999990939e-05,0.0,6.070799999990939e-05,,6,0.00045070800000002187,100,100,0,0,0,3,0.0,0.0,1,0.0,1,100,100,0,0,1.0,0.0,0.0
c03_s01_cov050_seed00000014_bw025,3,1,0.5,0.25,14,X,Y,1,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y W->Y X->Y C00-C02 C00-X,5.8540999999801e-05,0.0,5.8540999999801e-05,,6,0.00042162499999998104,100,100,0,0,0,3,0.0,0.0,1,0.0,1,100,100,0,0,1.0,0.0,0.0
c03_s01_cov100_seed00000000_bw000,3,1,1.0,0.0,0,X,Y,3,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->Y W->Y X->C02 X->Y C00-X,0.00010720800000019182,0.0,0.00010720800000019182,,19,0.0019201250000000503,300,240,0,0,60,6,0.4782679738562091,1.168300653594771,3,0.4782679738562091,3,240,240,0,0,1.0,0.0,0.0
c03_s01_cov100_seed00000001_bw000,3,1,1.0,0.0,1,X,Y,2,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->Y W->Y X->Y C00-X,6.550000000005163e-05,0.0,6.550000000005163e-05,,6,0.0004329159999998389,200,100,0,0,100,2,0.5300000000000001,0.53,2,0.5300000000000001,1,100,100,0,0,1.0,0.0,0.0
c03_s01_cov100_seed00000002_bw000,3,1,1.0,0.0,2,X,Y,3,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->Y W->Y X->C02 X->Y C00-X,0.00010770899999990036,0.0,0.00010770899999990036,,19,0.0019742919999998776,300,248,0,0,52,6,0.4156164383561644,1.012054794520548,3,0.4156164383561644,3,248,248,0,0,1.0,0.0,0.0
c03_s01_cov100_seed00000003_bw000,3,1,1.0,0.0,3,X,Y,3,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->Y W->Y X->C02 X->Y C00-X,9.04170000000093e-05,0.0,9.04170000000093e-05,,19,0.0017535419999998858,300,236,0,0,64,6,0.3446370530877573,0.90465872156013,3,0.3446370530877573,3,236,236,0,0,1.0,0.0,0.0
c03_s01_cov100_seed00000004_bw000,3,1,1.0,0.0,4,X,Y,2,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y W->Y X->C02 X->Y C00-X,5.958299999986316e-05,0.0,5.958299999986316e-05,,6,0.00041549999999990206,200,149,0,0,51,4,0.0,0.0,2,0.0,2,149,149,0,0,1.0,0.0,0.0
c03_s01_cov100_seed00000005_bw000,3,1,1.0,0.0,5,X,Y,2,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y W->Y X->C02 X->Y C00-X,6.875000000006182e-05,0.0,6.875000000006182e-05,,6,0.0004755000000000731,200,155,0,0,45,4,0.0,0.0,2,0.0,2,155,155,0,0,1.0,0.0,0.0
c03_s01_cov100_seed00000006_bw000,3,1,1.0,0.0,6,X,Y,2,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->Y W->Y X->Y C00-X,6.329199999988155e-05,0.0,6.329199999988155e-05,,6,0.0004913749999999606,200,100,0,0,100,2,0.5099999999999999,0.51,2,0.5099999999999999,1,100,100,0,0,1.0,0.0,0.0
c03_s01_cov100_seed00000007_bw000,3,1,1.0,0.0,7,X,Y,2,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y W->Y X->C02 X->Y C00-X,5.9250000000066194e-05,0.0,5.9250000000066194e-05,,6,0.00043516700000001407,200,161,0,0,39,4,0.0,0.0,2,0.0,2,161,161,0,0,1.0,0.0,0.0
c03_s01_cov100_seed00000008_bw000,3,1,1.0,0.0,8,X,Y,2,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y W->Y X->C02 X->Y C00-X,5.541700000000205e-05,0.0,5.541700000000205e-05,,6,0.00043175000000017505,200,164,0,0,36,4,0.0,0.0,2,0.0,2,164,164,0,0,1.0,0.0,0.0
c03_s01_cov100_seed00000009_bw000,3,1,1.0,0.0,9,X,Y,3,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->Y W->Y X->C02 X->Y C00-X,0.00011249999999995985,0.0,0.00011249999999995985,,19,0.0019522920000001331,300,223,0,0,77,6,0.3666666666666667,0.9111111111111111,3,0.3666666666666667,3,223,223,0,0,1.0,0.0,0.0
c03_s01_cov100_seed00000010_bw000,3,1,1.0,0.0,10,X,Y,3,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->Y W->Y X->C02 X->Y C00-X,9.312500000002721e-05,0.0,9.312500000002721e-05,,19,0.001835250000000066,300,243,0,0,57,6,0.4441901408450704,1.1050469483568075,3,0.4441901408450704,3,243,243,0,0,1.0,0.0,0.0
c03_s01_cov100_seed00000011_bw000,3,1,1.0,0.0,11,X,Y,2,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->Y W->Y X->Y C00-X,4.995900000004383e-05,0.0,4.995900000004383e-05,,6,0.0004252499999999326,200,100,0,0,100,2,0.45000000000000007,0.45,2,0.45000000000000007,1,100,100,0,0,1.0,0.0,0.0
c03_s01_cov100_seed00000012_bw000,3,1,1.0,0.0,12,X,Y,2,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y W->Y X->C02 X->Y C00-X,5.804099999995316e-05,0.0,5.804099999995316e-05,,6,0.0004799170000000519,200,154,0,0,46,4,0.0,0.0,2,0.0,2,154,154,0,0,1.0,0.0,0.0
c03_s01_cov100_seed00000013_bw000,3,1,1.0,0.0,13,X,Y,2,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y W->Y X->C02 X->Y C00-X,6.487500000007529e-05,0.0,6.487500000007529e-05,,6,0.0004948750000000057,200,150,0,0,50,4,0.0,0.0,2,0.0,2,150,150,0,0,1.0,0.0,0.0
c03_s01_cov100_seed00000014_bw000,3,1,1.0,0.0,14,X,Y,2,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->Y W->Y X->Y C00-X,5.691699999998967e-05,0.0,5.691699999998967e-05,,6,0.00041920800000005976,200,100,0,0,100,2,0.41000000000000003,0.41,2,0.41000000000000003,1,100,100,0,0,1.0,0.0,0.0
