network,x,y,condition,frame_row_id,shard_id,z_star,stored_radius,gac_radius,gac_exact,equal,z_gac_valid_at_g0,backdoor_recheck,sanity_status
Kampen_2014,AIS,EGC,D_LLM_32B,39f8c879d7bd97af,llm__D_LLM_32B__Kampen_2014,"[""ALN""]",3,3,True,True,True,3,match
Kampen_2014,AIS,FTW,D_LLM_32B,d62a53f7a4d4474f,llm__D_LLM_32B__Kampen_2014,"[""ALN""]",3,3,True,True,True,3,match
Kampen_2014,AIS,HOS,D_LLM_32B,f61e4e19c78d2a3c,llm__D_LLM_32B__Kampen_2014,"[""ALN""]",3,3,True,True,True,3,match
Kampen_2014,AIS,SUS,D_LLM_32B,14323ffd4faeaf08,llm__D_LLM_32B__Kampen_2014,"[""ALN""]",3,3,True,True,True,3,match
Polzer_2012,Sport,Diabetes,D_LLM_32B,9b6d986285cd2377,llm__D_LLM_32B__Polzer_2012,"[""Age"", ""Sex""]",1,1,True,True,True,1,match
Polzer_2012,Sport,Hypertension,D_LLM_32B,670cc3a8811f112d,llm__D_LLM_32B__Polzer_2012,"[""Age"", ""Sex""]",1,1,True,True,True,1,match
Polzer_2012,Sport,Lipids,D_LLM_32B,15c3e945d224bf3b,llm__D_LLM_32B__Polzer_2012,"[""Age"", ""Sex""]",1,1,True,True,True,1,match
Polzer_2012,Sport,Mortality,D_LLM_32B,48ad9dd90754443a,llm__D_LLM_32B__Polzer_2012,"[""Age"", ""Sex""]",1,1,True,True,True,1,match
Polzer_2012,Sport,Obesity,D_LLM_32B,814120da2c3b02ea,llm__D_LLM_32B__Polzer_2012,"[""Age"", ""Sex""]",1,1,True,True,True,1,match
Polzer_2012,Sport,Periodontitis,D_LLM_32B,c4c4bd8e14a70013,llm__D_LLM_32B__Polzer_2012,"[""Age"", ""Sex""]",1,1,True,True,True,1,match
Polzer_2012,Sport,ToothLoss,D_LLM_32B,560b0163683b6cd2,llm__D_LLM_32B__Polzer_2012,"[""Age"", ""Sex""]",1,1,True,True,True,1,match
Polzer_2012,Alcohol,Diabetes,D_LLM_32B,abad5db5315c1011,llm__D_LLM_32B__Polzer_2012,"[""Age"", ""Psychosocial"", ""Sex"", ""Smoking"", ""Sport""]",3,3,True,True,True,3,match
Polzer_2012,Alcohol,Hypertension,D_LLM_32B,9bc97d96d87f206d,llm__D_LLM_32B__Polzer_2012,"[""Age"", ""Psychosocial"", ""Sex"", ""Smoking"", ""Sport""]",3,3,True,True,True,3,match
Polzer_2012,Alcohol,Lipids,D_LLM_32B,36f01cb9c1a7988c,llm__D_LLM_32B__Polzer_2012,"[""Age"", ""Psychosocial"", ""Sex"", ""Smoking"", ""Sport""]",3,3,True,True,True,3,match
Polzer_2012,Alcohol,Mortality,D_LLM_32B,c82f1a3fc6c0e430,llm__D_LLM_32B__Polzer_2012,"[""Age"", ""Caries"", ""Psychosocial"", ""Sex"", ""Smoking"", ""Sport""]",3,3,True,True,True,3,match
Polzer_2012,Alcohol,Obesity,D_LLM_32B,70178f7aea4dd934,llm__D_LLM_32B__Polzer_2012,"[""Age"", ""Psychosocial"", ""Sex"", ""Smoking"", ""Sport""]",3,3,True,True,True,3,match
Polzer_2012,Alcohol,Periodontitis,D_LLM_32B,1bf964c4b53ce1ce,llm__D_LLM_32B__Polzer_2012,"[""Age"", ""Psychosocial"", ""Sex"", ""Smoking"", ""Sport""]",3,3,True,True,True,3,match
Polzer_2012,Alcohol,ToothLoss,D_LLM_32B,ca4a049ad6453d81,llm__D_LLM_32B__Polzer_2012,"[""Age"", ""Caries"", ""Psychosocial"", ""Sex"", ""Smoking"", ""Sport""]",3,3,True,True,True,3,match
Polzer_2012,Caries,Mortality,D_LLM_32B,ab8ffbfce2ed5e53,llm__D_LLM_32B__Polzer_2012,"[""Age"", ""Alcohol"", ""Diabetes"", ""Hypertension"", ""Lipids"", ""Obesity"", ""Periodontitis"", ""Psychosocial"", ""Sex"", ""Smoking"", ""Sport""]",2,2,True,True,True,2,match
Polzer_2012,Caries,ToothLoss,D_LLM_32B,3666a9ce2aeede86,llm__D_LLM_32B__Polzer_2012,"[""Age"", ""Alcohol"", ""Periodontitis"", ""Psychosocial"", ""Sex"", ""Smoking""]",2,2,True,True,True,2,match
Polzer_2012,Psychosocial,Caries,D_LLM_32B,d35eb5538491a8a1,llm__D_LLM_32B__Polzer_2012,"[""Age"", ""Sex""]",2,2,True,True,True,2,match
Schipf_2010,S,T2DM,D_LLM_32B,66e0e77416c34965,llm__D_LLM_32B__Schipf_2010,"[""PA"", ""U"", ""WC""]",1,1,True,True,True,1,match
Schipf_2010,S,TT,D_LLM_32B,7145d83650cc895b,llm__D_LLM_32B__Schipf_2010,"[""A"", ""U"", ""WC""]",1,1,True,True,True,1,match
Schipf_2010,PA,T2DM,D_LLM_32B,ab3b601952dc6301,llm__D_LLM_32B__Schipf_2010,"[""A"", ""S""]",1,1,True,True,True,1,match
Schipf_2010,PA,TT,D_LLM_32B,2eb9b91503918261,llm__D_LLM_32B__Schipf_2010,"[""A"", ""S""]",1,1,True,True,True,1,match
Schipf_2010,PA,U,D_LLM_32B,a0ae341e55c715fd,llm__D_LLM_32B__Schipf_2010,"[""A""]",1,1,True,True,True,1,match
Schipf_2010,PA,WC,D_LLM_32B,8d8cf4141054c3ab,llm__D_LLM_32B__Schipf_2010,"[""A""]",1,1,True,True,True,1,match
Schipf_2010,U,T2DM,D_LLM_32B,965bd55c192abfe6,llm__D_LLM_32B__Schipf_2010,"[""PA"", ""S"", ""WC""]",2,2,True,True,True,2,match
Schipf_2010,U,TT,D_LLM_32B,68a60e621127dd9b,llm__D_LLM_32B__Schipf_2010,"[""A"", ""S"", ""WC""]",2,2,True,True,True,2,match
Schipf_2010,WC,T2DM,D_LLM_32B,4872520ca1d3c1a7,llm__D_LLM_32B__Schipf_2010,"[""A"", ""PA"", ""S""]",1,1,True,True,True,1,match
Schipf_2010,WC,TT,D_LLM_32B,ecd459d8985b13a2,llm__D_LLM_32B__Schipf_2010,"[""A"", ""S""]",2,2,True,True,True,2,match
Schipf_2010,WC,U,D_LLM_32B,2428bab9f4afebff,llm__D_LLM_32B__Schipf_2010,"[""A""]",2,2,True,True,True,2,match
Sebastiani_2005,EDNI1.6,EDNI1.7,D_LLM_32B,0d4fa520759cd0b4,llm__D_LLM_32B__Sebastiani_2005,"[""EDN1.3"", ""EDN1.9""]",1,1,True,True,True,1,match
Sebastiani_2005,TGFBR3.8,TGFBR3.2,D_LLM_32B,7aa4a305db33dada,llm__D_LLM_32B__Sebastiani_2005,"[""CAT""]",1,1,True,True,True,1,match
Sebastiani_2005,TGFBR3.8,TGFBR3.9,D_LLM_32B,8d77aa70f645f886,llm__D_LLM_32B__Sebastiani_2005,"[""CAT""]",1,1,True,True,True,1,match
Shrier_2008,TeamMotivation,Injury,D_LLM_32B,9d100477584444ba,llm__D_LLM_32B__Shrier_2008,"[""ContactSport"", ""NeuromuscularFatigue"", ""PreGameProprioception"", ""TissueWeakness""]",1,1,True,True,True,1,match
Shrier_2008,TeamMotivation,IntraGameProprioception,D_LLM_32B,c53c3de298524f85,llm__D_LLM_32B__Shrier_2008,"[""ContactSport"", ""NeuromuscularFatigue"", ""PreGameProprioception""]",1,1,True,True,True,1,match
Shrier_2008,TeamMotivation,WarmUpExercises,D_LLM_32B,a43af17f7bbc3f3b,llm__D_LLM_32B__Shrier_2008,"[""PreGameProprioception""]",1,1,True,True,True,1,match
Shrier_2008,ConnectiveTissueDisorder,Injury,D_LLM_32B,0f781514ba0082bd,llm__D_LLM_32B__Shrier_2008,"[""ContactSport"", ""FitnessLevel"", ""Genetics"", ""WarmUpExercises""]",1,1,True,True,True,1,match
Shrier_2008,ConnectiveTissueDisorder,IntraGameProprioception,D_LLM_32B,419ac4b5672e2be4,llm__D_LLM_32B__Shrier_2008,"[""ContactSport"", ""FitnessLevel"", ""Genetics"", ""WarmUpExercises""]",1,1,True,True,True,1,match
Shrier_2008,ConnectiveTissueDisorder,NeuromuscularFatigue,D_LLM_32B,611281ab7554b761,llm__D_LLM_32B__Shrier_2008,"[""FitnessLevel"", ""Genetics""]",1,1,True,True,True,1,match
Shrier_2008,TissueWeakness,Injury,D_LLM_32B,f2f36e3663907c0a,llm__D_LLM_32B__Shrier_2008,"[""IntraGameProprioception"", ""NeuromuscularFatigue""]",2,2,True,True,True,2,match
asia,bronc,dysp,D_LLM_32B,907770693c683e48,llm__D_LLM_32B__asia,"[""either""]",1,1,True,True,True,1,match
asia,lung,dysp,D_LLM_32B,9681904755c8ce6c,llm__D_LLM_32B__asia,"[""bronc"", ""tub""]",1,1,True,True,True,1,match
barley,dgv5980,aks_vgt,D_LLM_32B,e4e21184d18f24ac,llm__D_LLM_32B__barley,"[""aks_m2"", ""ntilg""]",2,2,True,True,True,2,match
barley,dgv5980,bgbyg,D_LLM_32B,1f19ee890d836666,llm__D_LLM_32B__barley,"[""dgv1059""]",2,2,True,True,True,2,match
barley,dgv5980,ksort,D_LLM_32B,7751afdeb55441bb,llm__D_LLM_32B__barley,"[""aks_m2"", ""keraks"", ""ntilg"", ""srtsize""]",2,2,True,True,True,2,match
barley,dgv5980,protein,D_LLM_32B,b4712761382515ab,llm__D_LLM_32B__barley,"[""aks_m2"", ""dgv1059"", ""keraks"", ""nprot"", ""ntilg"", ""srtprot"", ""srtsize""]",2,2,True,True,True,2,match
barley,dgv5980,s2225,D_LLM_32B,bfa5bc410a8b8940,llm__D_LLM_32B__barley,"[""aks_m2"", ""keraks"", ""ntilg"", ""srtsize""]",2,2,True,True,True,2,match
barley,dgv5980,s2528,D_LLM_32B,e647107ef493ae9f,llm__D_LLM_32B__barley,"[""aks_m2"", ""keraks"", ""ntilg"", ""srtsize""]",2,2,True,True,True,2,match
barley,dgv5980,slt22,D_LLM_32B,9f0eebb07d55db65,llm__D_LLM_32B__barley,"[""aks_m2"", ""keraks"", ""ntilg"", ""srtsize""]",2,2,True,True,True,2,match
barley,dgv5980,spndx,D_LLM_32B,fcb34f63d607d664,llm__D_LLM_32B__barley,"[""aks_m2"", ""keraks"", ""ntilg"", ""srtsize""]",2,2,True,True,True,2,match
barley,dgv5980,udb,D_LLM_32B,b3c69dbf113e11fe,llm__D_LLM_32B__barley,"[""aks_m2"", ""ntilg""]",2,2,True,True,True,2,match
barley,frspdag,aks_m2,D_LLM_32B,1bdd736344b8aae7,llm__D_LLM_32B__barley,"[""dgv1059"", ""ntilg"", ""partigerm"", ""saakern"", ""sorttkv""]",1,1,True,True,True,1,match
barley,frspdag,aks_vgt,D_LLM_32B,7afb2f38c4de21f9,llm__D_LLM_32B__barley,"[""dgv1059"", ""dgv5980"", ""ntilg"", ""partigerm"", ""saakern"", ""sorttkv""]",1,1,True,True,True,1,match
barley,frspdag,keraks,D_LLM_32B,217e53543f0e69a3,llm__D_LLM_32B__barley,"[""dgv1059"", ""ntilg"", ""partigerm"", ""saakern"", ""sorttkv""]",1,1,True,True,True,1,match
barley,frspdag,ksort,D_LLM_32B,0fa78eaf3fbf2cd2,llm__D_LLM_32B__barley,"[""dgv1059"", ""dgv5980"", ""ntilg"", ""partigerm"", ""saakern"", ""sorttkv"", ""srtsize""]",1,1,True,True,True,1,match
barley,frspdag,protein,D_LLM_32B,2c98285fcedd368b,llm__D_LLM_32B__barley,"[""dgv1059"", ""dgv5980"", ""nprot"", ""ntilg"", ""partigerm"", ""saakern"", ""sorttkv"", ""srtprot"", ""srtsize""]",1,1,True,True,True,1,match
barley,frspdag,s2225,D_LLM_32B,a475b57e3b779b65,llm__D_LLM_32B__barley,"[""dgv1059"", ""dgv5980"", ""ntilg"", ""partigerm"", ""saakern"", ""sorttkv"", ""srtsize""]",1,1,True,True,True,1,match
barley,frspdag,s2528,D_LLM_32B,d743a492b88dc781,llm__D_LLM_32B__barley,"[""dgv1059"", ""dgv5980"", ""ntilg"", ""partigerm"", ""saakern"", ""sorttkv"", ""srtsize""]",1,1,True,True,True,1,match
barley,frspdag,slt22,D_LLM_32B,8c2bdfc751681521,llm__D_LLM_32B__barley,"[""dgv1059"", ""dgv5980"", ""ntilg"", ""partigerm"", ""saakern"", ""sorttkv"", ""srtsize""]",1,1,True,True,True,1,match
barley,frspdag,spndx,D_LLM_32B,9234efc18fd0c8f5,llm__D_LLM_32B__barley,"[""dgv1059"", ""dgv5980"", ""ntilg"", ""partigerm"", ""saakern"", ""sorttkv"", ""srtsize""]",1,1,True,True,True,1,match
barley,frspdag,tkv,D_LLM_32B,8bc81125b6d795e6,llm__D_LLM_32B__barley,"[""dgv1059"", ""ntilg"", ""partigerm"", ""saakern"", ""sorttkv""]",1,1,True,True,True,1,match
barley,frspdag,udb,D_LLM_32B,1969e3c97128a067,llm__D_LLM_32B__barley,"[""dgv1059"", ""dgv5980"", ""ntilg"", ""partigerm"", ""saakern"", ""sorttkv""]",1,1,True,True,True,1,match
barley,jordinf,aks_m2,D_LLM_32B,4de979fd4e0c763c,llm__D_LLM_32B__barley,"[""dgv1059"", ""ntilg"", ""partigerm"", ""saakern"", ""sorttkv""]",2,2,True,True,True,2,match
barley,jordinf,aks_vgt,D_LLM_32B,f8c586a3574765e9,llm__D_LLM_32B__barley,"[""dgv1059"", ""dgv5980"", ""ntilg"", ""partigerm"", ""saakern"", ""sorttkv""]",2,2,True,True,True,2,match
barley,jordinf,keraks,D_LLM_32B,5a430b41d323f3f9,llm__D_LLM_32B__barley,"[""dgv1059"", ""ntilg"", ""partigerm"", ""saakern"", ""sorttkv""]",2,2,True,True,True,2,match
barley,jordinf,ksort,D_LLM_32B,641f5d568045839c,llm__D_LLM_32B__barley,"[""dgv1059"", ""dgv5980"", ""ntilg"", ""partigerm"", ""saakern"", ""sorttkv"", ""srtsize""]",2,2,True,True,True,2,match
barley,jordinf,protein,D_LLM_32B,9ab562c6e8db2646,llm__D_LLM_32B__barley,"[""dgv1059"", ""dgv5980"", ""nprot"", ""ntilg"", ""partigerm"", ""saakern"", ""sorttkv"", ""srtprot"", ""srtsize""]",2,2,True,True,True,2,match
barley,jordinf,s2225,D_LLM_32B,9e14be48100575b1,llm__D_LLM_32B__barley,"[""dgv1059"", ""dgv5980"", ""ntilg"", ""partigerm"", ""saakern"", ""sorttkv"", ""srtsize""]",2,2,True,True,True,2,match
barley,jordinf,s2528,D_LLM_32B,aac67b753f099593,llm__D_LLM_32B__barley,"[""dgv1059"", ""dgv5980"", ""ntilg"", ""partigerm"", ""saakern"", ""sorttkv"", ""srtsize""]",2,2,True,True,True,2,match
barley,jordinf,slt22,D_LLM_32B,0c08b127571c66fb,llm__D_LLM_32B__barley,"[""dgv1059"", ""dgv5980"", ""ntilg"", ""partigerm"", ""saakern"", ""sorttkv"", ""srtsize""]",2,2,True,True,True,2,match
barley,jordinf,spndx,D_LLM_32B,0d29c8ab0b0b81ba,llm__D_LLM_32B__barley,"[""dgv1059"", ""dgv5980"", ""ntilg"", ""partigerm"", ""saakern"", ""sorttkv"", ""srtsize""]",2,2,True,True,True,2,match
barley,jordinf,tkv,D_LLM_32B,768d209396e8a62a,llm__D_LLM_32B__barley,"[""dgv1059"", ""ntilg"", ""partigerm"", ""saakern"", ""sorttkv""]",2,2,True,True,True,2,match
barley,jordinf,udb,D_LLM_32B,c70937e2372e048d,llm__D_LLM_32B__barley,"[""dgv1059"", ""dgv5980"", ""ntilg"", ""partigerm"", ""saakern"", ""sorttkv""]",2,2,True,True,True,2,match
barley,rokap,aks_m2,D_LLM_32B,d34a0d5ed571967a,llm__D_LLM_32B__barley,"[""antplnt"", ""ntilg"", ""saatid"", ""sorttkv""]",1,1,True,True,True,1,match
barley,rokap,aks_vgt,D_LLM_32B,5424b7c614ff043c,llm__D_LLM_32B__barley,"[""antplnt"", ""ntilg"", ""saatid"", ""sorttkv""]",1,1,True,True,True,1,match
barley,rokap,keraks,D_LLM_32B,c351b07eec0bcb87,llm__D_LLM_32B__barley,"[""antplnt"", ""ntilg"", ""saatid"", ""sorttkv""]",1,1,True,True,True,1,match
barley,rokap,ksort,D_LLM_32B,4f0548cc1238f781,llm__D_LLM_32B__barley,"[""antplnt"", ""ntilg"", ""saatid"", ""sorttkv"", ""srtsize""]",1,1,True,True,True,1,match
barley,rokap,protein,D_LLM_32B,b5e4f281fef2efff,llm__D_LLM_32B__barley,"[""antplnt"", ""nprot"", ""ntilg"", ""saatid"", ""sorttkv"", ""srtprot"", ""srtsize""]",1,1,True,True,True,1,match
barley,rokap,s2225,D_LLM_32B,0d8b334d8c2fef5a,llm__D_LLM_32B__barley,"[""antplnt"", ""ntilg"", ""saatid"", ""sorttkv"", ""srtsize""]",1,1,True,True,True,1,match
barley,rokap,s2528,D_LLM_32B,acf21ca12aa3ba21,llm__D_LLM_32B__barley,"[""antplnt"", ""ntilg"", ""saatid"", ""sorttkv"", ""srtsize""]",1,1,True,True,True,1,match
barley,rokap,slt22,D_LLM_32B,211ff0e53b8126ab,llm__D_LLM_32B__barley,"[""antplnt"", ""ntilg"", ""saatid"", ""sorttkv"", ""srtsize""]",1,1,True,True,True,1,match
barley,rokap,spndx,D_LLM_32B,382f6e90c525e06f,llm__D_LLM_32B__barley,"[""antplnt"", ""ntilg"", ""saatid"", ""sorttkv"", ""srtsize""]",1,1,True,True,True,1,match
barley,rokap,tkv,D_LLM_32B,ffafbd419bad8aeb,llm__D_LLM_32B__barley,"[""antplnt"", ""ntilg"", ""saatid"", ""sorttkv""]",1,1,True,True,True,1,match
barley,rokap,udb,D_LLM_32B,99ac51d45a8a6ce0,llm__D_LLM_32B__barley,"[""antplnt"", ""ntilg"", ""saatid"", ""sorttkv""]",1,1,True,True,True,1,match
barley,nedbarea,aks_m2,D_LLM_32B,bd2c969d18acaadf,llm__D_LLM_32B__barley,"[""aar_mod"", ""antplnt"", ""dg25"", ""dgv1059"", ""exptgens"", ""forfrugt"", ""jordtype"", ""nopt"", ""nplac"", ""potnmin"", ""sorttkv""]",1,1,True,True,True,1,match
barley,nedbarea,aks_vgt,D_LLM_32B,1edc6d7ac21072c9,llm__D_LLM_32B__barley,"[""aar_mod"", ""antplnt"", ""dg25"", ""dgv1059"", ""dgv5980"", ""exptgens"", ""forfrugt"", ""jordtype"", ""nopt"", ""nplac"", ""potnmin"", ""sorttkv""]",1,1,True,True,True,1,match
barley,nedbarea,jordn,D_LLM_32B,f6bc93b58516b679,llm__D_LLM_32B__barley,"[""aar_mod"", ""jordtype"", ""potnmin""]",1,1,True,True,True,1,match
barley,nedbarea,keraks,D_LLM_32B,dbe33e372995f5d0,llm__D_LLM_32B__barley,"[""aar_mod"", ""antplnt"", ""dg25"", ""dgv1059"", ""exptgens"", ""forfrugt"", ""jordtype"", ""nopt"", ""nplac"", ""potnmin"", ""sorttkv""]",1,1,True,True,True,1,match
barley,nedbarea,ksort,D_LLM_32B,79d3fa19938f1041,llm__D_LLM_32B__barley,"[""aar_mod"", ""antplnt"", ""dg25"", ""dgv1059"", ""dgv5980"", ""exptgens"", ""forfrugt"", ""jordtype"", ""nopt"", ""nplac"", ""potnmin"", ""sorttkv"", ""srtsize""]",1,1,True,True,True,1,match
barley,nedbarea,mod_nmin,D_LLM_32B,ebe79c85e8163d17,llm__D_LLM_32B__barley,"[""aar_mod"", ""jordtype""]",1,1,True,True,True,1,match
barley,nedbarea,ngodn,D_LLM_32B,2747931161edada2,llm__D_LLM_32B__barley,"[""aar_mod"", ""exptgens"", ""forfrugt"", ""jordtype"", ""nopt"", ""potnmin""]",1,1,True,True,True,1,match
barley,nedbarea,ngodnn,D_LLM_32B,10c8db22cdfba307,llm__D_LLM_32B__barley,"[""aar_mod"", ""jordtype"", ""nopt"", ""potnmin""]",1,1,True,True,True,1,match
barley,nedbarea,ngodnt,D_LLM_32B,b88c96f810e6d191,llm__D_LLM_32B__barley,"[""aar_mod"", ""exptgens"", ""forfrugt"", ""jordtype""]",1,1,True,True,True,1,match
barley,nedbarea,ngtilg,D_LLM_32B,c8c4116f8af44151,llm__D_LLM_32B__barley,"[""aar_mod"", ""dg25"", ""exptgens"", ""forfrugt"", ""jordtype"", ""nopt"", ""nplac"", ""potnmin""]",1,1,True,True,True,1,match
barley,nedbarea,nprot,D_LLM_32B,cef811185051f2ab,llm__D_LLM_32B__barley,"[""aar_mod"", ""exptgens"", ""forfrugt"", ""jordtype"", ""nopt"", ""potnmin""]",1,1,True,True,True,1,match
barley,nedbarea,ntilg,D_LLM_32B,10996bd041ade3d6,llm__D_LLM_32B__barley,"[""aar_mod"", ""dg25"", ""exptgens"", ""forfrugt"", ""jordtype"", ""nopt"", ""nplac"", ""potnmin""]",1,1,True,True,True,1,match
barley,nedbarea,protein,D_LLM_32B,c4d0d196739d415d,llm__D_LLM_32B__barley,"[""aar_mod"", ""antplnt"", ""dg25"", ""dgv1059"", ""dgv5980"", ""exptgens"", ""forfrugt"", ""jordtype"", ""nopt"", ""nplac"", ""potnmin"", ""sorttkv"", ""srtprot"", ""srtsize""]",1,1,True,True,True,1,match
barley,nedbarea,s2225,D_LLM_32B,122299d7b1233cad,llm__D_LLM_32B__barley,"[""aar_mod"", ""antplnt"", ""dg25"", ""dgv1059"", ""dgv5980"", ""exptgens"", ""forfrugt"", ""jordtype"", ""nopt"", ""nplac"", ""potnmin"", ""sorttkv"", ""srtsize""]",1,1,True,True,True,1,match
barley,nedbarea,s2528,D_LLM_32B,1534341de326d29b,llm__D_LLM_32B__barley,"[""aar_mod"", ""antplnt"", ""dg25"", ""dgv1059"", ""dgv5980"", ""exptgens"", ""forfrugt"", ""jordtype"", ""nopt"", ""nplac"", ""potnmin"", ""sorttkv"", ""srtsize""]",1,1,True,True,True,1,match
barley,nedbarea,slt22,D_LLM_32B,8b2d02d8343dd5fb,llm__D_LLM_32B__barley,"[""aar_mod"", ""antplnt"", ""dg25"", ""dgv1059"", ""dgv5980"", ""exptgens"", ""forfrugt"", ""jordtype"", ""nopt"", ""nplac"", ""potnmin"", ""sorttkv"", ""srtsize""]",1,1,True,True,True,1,match
barley,nedbarea,spndx,D_LLM_32B,aa0dde073f912603,llm__D_LLM_32B__barley,"[""aar_mod"", ""antplnt"", ""dg25"", ""dgv1059"", ""dgv5980"", ""exptgens"", ""forfrugt"", ""jordtype"", ""nopt"", ""nplac"", ""potnmin"", ""sorttkv"", ""srtsize""]",1,1,True,True,True,1,match
barley,nedbarea,tkv,D_LLM_32B,922c71038b4b83aa,llm__D_LLM_32B__barley,"[""aar_mod"", ""antplnt"", ""dg25"", ""dgv1059"", ""exptgens"", ""forfrugt"", ""jordtype"", ""nopt"", ""nplac"", ""potnmin"", ""sorttkv""]",1,1,True,True,True,1,match
barley,nedbarea,udb,D_LLM_32B,0493f11541458855,llm__D_LLM_32B__barley,"[""aar_mod"", ""antplnt"", ""dg25"", ""dgv1059"", ""dgv5980"", ""exptgens"", ""forfrugt"", ""jordtype"", ""nopt"", ""nplac"", ""potnmin"", ""sorttkv""]",1,1,True,True,True,1,match
barley,srtprot,protein,D_LLM_32B,3dd223c0c721aebd,llm__D_LLM_32B__barley,"[""dgv1059"", ""ksort"", ""nprot""]",1,1,True,True,True,1,match
barley,dg25,aks_m2,D_LLM_32B,8ac904ebf0334ba8,llm__D_LLM_32B__barley,"[""antplnt"", ""dgv1059"", ""jordn"", ""ngodn"", ""nplac"", ""sorttkv""]",1,1,True,True,True,1,match
barley,dg25,aks_vgt,D_LLM_32B,04018adc38ecd817,llm__D_LLM_32B__barley,"[""antplnt"", ""dgv1059"", ""dgv5980"", ""jordn"", ""ngodn"", ""nplac"", ""sorttkv""]",1,1,True,True,True,1,match
barley,dg25,keraks,D_LLM_32B,8517dd5297bb0c74,llm__D_LLM_32B__barley,"[""antplnt"", ""dgv1059"", ""jordn"", ""ngodn"", ""nplac"", ""sorttkv""]",1,1,True,True,True,1,match
barley,dg25,ksort,D_LLM_32B,3fc49c00b2cfe4c8,llm__D_LLM_32B__barley,"[""antplnt"", ""dgv1059"", ""dgv5980"", ""jordn"", ""ngodn"", ""nplac"", ""sorttkv"", ""srtsize""]",1,1,True,True,True,1,match
barley,dg25,protein,D_LLM_32B,5099910ad16f2c6e,llm__D_LLM_32B__barley,"[""antplnt"", ""dgv1059"", ""dgv5980"", ""jordn"", ""ngodn"", ""nplac"", ""nprot"", ""sorttkv"", ""srtprot"", ""srtsize""]",1,1,True,True,True,1,match
barley,dg25,s2225,D_LLM_32B,bc11f65e65562eb5,llm__D_LLM_32B__barley,"[""antplnt"", ""dgv1059"", ""dgv5980"", ""jordn"", ""ngodn"", ""nplac"", ""sorttkv"", ""srtsize""]",1,1,True,True,True,1,match
barley,dg25,s2528,D_LLM_32B,08f5397cb9415f48,llm__D_LLM_32B__barley,"[""antplnt"", ""dgv1059"", ""dgv5980"", ""jordn"", ""ngodn"", ""nplac"", ""sorttkv"", ""srtsize""]",1,1,True,True,True,1,match
barley,dg25,slt22,D_LLM_32B,cfa098458361a79f,llm__D_LLM_32B__barley,"[""antplnt"", ""dgv1059"", ""dgv5980"", ""jordn"", ""ngodn"", ""nplac"", ""sorttkv"", ""srtsize""]",1,1,True,True,True,1,match
barley,dg25,spndx,D_LLM_32B,de73fed186cf1732,llm__D_LLM_32B__barley,"[""antplnt"", ""dgv1059"", ""dgv5980"", ""jordn"", ""ngodn"", ""nplac"", ""sorttkv"", ""srtsize""]",1,1,True,True,True,1,match
barley,dg25,tkv,D_LLM_32B,2256559469ff84d7,llm__D_LLM_32B__barley,"[""antplnt"", ""dgv1059"", ""jordn"", ""ngodn"", ""nplac"", ""sorttkv""]",1,1,True,True,True,1,match
barley,dg25,udb,D_LLM_32B,261b487c3f5ccf68,llm__D_LLM_32B__barley,"[""antplnt"", ""dgv1059"", ""dgv5980"", ""jordn"", ""ngodn"", ""nplac"", ""sorttkv""]",1,1,True,True,True,1,match
